base,id_formula,idcolor,descripcion,formula_1l
ACCENT,99347,7365,Blazer Blue,B=7.5 | D=19 | E=114 | KX=4
ACCENT,99355,7373,River of Dreams,D=9 | E=108 | KX=18 | L=9
ACCENT,99363,7381,Puerto Deseado,B=26 | E=52 | KX=10 | L=52
ACCENT,99379,7397,Belmont Blue,B=21 | E=63 | KX=18 | L=42
ACCENT,99382,73A1A,NAVY WOOL,B=50 | E=82 | KX=12
ACCENT,99398,7405,Citadel Blue,D=34 | E=102 | KX=14
ACCENT,99414,7421,Harbor View,D=14 | E=56 | KX=22 | L=56
ACCENT,99422,7429,Night Edition,B=18 | D=24 | E=72 | KX=18
ACCENT,99430,7437,Sea of Midnight,D=43 | E=85 | KX=16
ACCENT,99438,7445,Waterville,D=50 | E=50 | KX=16 | L=25
ACCENT,99446,7453,Caribbean Dream,B=8.5 | D=73 | E=38 | KX=24
ACCENT,99454,7461,Province Park,D=12 | E=36 | KX=20 | L=72
ACCENT,99462,7469,Green Mountain Falls,B=36 | D=72 | E=18 | KX=24
ACCENT,99470,7477,Woodland Springs,AXX=22 | E=107 | KX=5 | L=10
ACCENT,99478,7485,Mountain Meadow,D=64 | E=44 | KX=13 | L=23
ACCENT,99486,7493,Acapulco Pool,D=50 | E=18 | KX=14 | L=46
ACCENT,99493,74A1A,BOHEMIAN BLUE,B=12 | E=84 | KX=24
ACCENT,99505,7501,Turquoise Trinket,D=96 | E=31 | KX=14
ACCENT,99513,7509,Emerald Accent,D=116 | E=4 | KX=16 | L=8
ACCENT,99521,7517,Fresh Meadows,D=120 | KX=24
ACCENT,99529,7525,Enchanted Evergreen,D=102 | E=7.5 | KX=15 | L=19
ACCENT,99537,7533,Spruce Mountain,D=105 | KX=18 | L=21
ACCENT,99545,7541,Country Meadow,AXX=8 | B=12 | D=120 | KX=8
ACCENT,99553,7549,Shamrock Green,C=10 | D=112 | KX=16 | L=6
ACCENT,99561,7557,Woodland Fern,B=18 | C=12 | D=78 | KX=12
ACCENT,99569,7565,Center Field,AXX=33 | D=99 | KX=24
ACCENT,99577,7573,Sea of Grass,AXX=18 | B=8 | D=96 | KX=6
