COD,ARTIC,PR_CON_IVA,usa_tinto,tipo_tinto,base_tinto,base_fisica_tinto,factor_envase_tinto,ajuste_formula_tinto,factor_tinto,litros_reales,kilos_reales,unidad_detectada,confianza_tinto,regla_tinto,observacion_tinto
60400103,"RECUMIX ANCLAJE 1,25 KGS",8994.79,NO,,,,,,,,,,,,Sin base tintométrica detectada
60400104,RECUMIX ANCLAJE 5 KGS,33367.81,NO,,,,,,,,,,,,Sin base tintométrica detectada
60402103,"RECUMIX EXTERIOR 1,25 KG",8592.67,NO,,,,,,,,,,,,Sin base tintométrica detectada
60402104,RECUMIX EXTERIOR 5 KG,31876.08,NO,,,,,,,,,,,,Sin base tintométrica detectada
60402102,RECUMIX EXTERIOR 500 GRS,6630.99,NO,,,,,,,,,,,,Sin base tintométrica detectada
60401103,"RECUMIX INTERIOR 1,25 KG",8592.67,NO,,,,,,,,,,,,Sin base tintométrica detectada
60401104,RECUMIX INTERIOR 5 KG,31876.08,NO,,,,,,,,,,,,Sin base tintométrica detectada
60401102,RECUMIX INTERIOR 500 GRS,6630.99,NO,,,,,,,,,,,,Sin base tintométrica detectada
89340965,RECUPLAST AGRESTE FINO ACCENT 25 KGS,149956.21,SI,AGRESTE,ACCENT,ACCENT,5,1,5,,25,KG,ESPECIAL_VALIDADO,AGRESTE_ACCENT,Agreste ACCENT: factor según regla validada; base física ACCENT; 25 kg
89340967,RECUPLAST AGRESTE FINO ACCENT 30 KGS,137293.05,SI,AGRESTE,ACCENT,ACCENT,6,1,6,,30,KG,ESPECIAL_VALIDADO,AGRESTE_ACCENT,Agreste ACCENT: factor según regla validada; base física ACCENT; 30 kg
89341005,RECUPLAST AGRESTE FINO BLANCO 25 KGS,149956.21,SI,AGRESTE,PASTEL,BLANCO,2.5,1,2.5,,25,KG,ESPECIAL_VALIDADO,AGRESTE_PASTEL,Agreste PASTEL: factor según regla validada; base física BLANCO; 25 kg
89341007,RECUPLAST AGRESTE FINO BLANCO 30 KG,137293.05,SI,AGRESTE,PASTEL,BLANCO,3,1,3,,30,KG,ESPECIAL_VALIDADO,AGRESTE_PASTEL,Agreste PASTEL: factor según regla validada; base física BLANCO; 30 kg
89341004,RECUPLAST AGRESTE FINO BLANCO 6 KGS,40012.95,SI,AGRESTE,PASTEL,BLANCO,0.6,1,0.6,,6,KG,ESPECIAL_VALIDADO,AGRESTE_PASTEL,Agreste PASTEL: factor según regla validada; base física BLANCO; 6 kg
89341267,RECUPLAST AGRESTE FINO MARFIL 30 KGS,137293.05,NO,,,,,,,,,,,,Sin base tintométrica detectada
89341264,RECUPLAST AGRESTE FINO MARFIL 6 KGS,32970.61,NO,,,,,,,,,,,,Sin base tintométrica detectada
89355005,RECUPLAST AGRESTE GRUESO BLANCO 25 KGS,149956.21,SI,AGRESTE,PASTEL,BLANCO,2.5,1,2.5,,25,KG,ESPECIAL_VALIDADO,AGRESTE_PASTEL,Agreste PASTEL: factor según regla validada; base física BLANCO; 25 kg
89355007,RECUPLAST AGRESTE GRUESO BLANCO 30 KGS,137293.05,SI,AGRESTE,PASTEL,BLANCO,3,1,3,,30,KG,ESPECIAL_VALIDADO,AGRESTE_PASTEL,Agreste PASTEL: factor según regla validada; base física BLANCO; 30 kg
89355009,RECUPLAST AGRESTE GRUESO BLANCO 300 KGS,10651.91,SI,AGRESTE,PASTEL,BLANCO,30,1,30,,300,KG,ESPECIAL_VALIDADO,AGRESTE_PASTEL,Agreste PASTEL: factor según regla validada; base física BLANCO; 300 kg
89355004,RECUPLAST AGRESTE GRUESO BLANCO 6 KGS,40012.95,SI,AGRESTE,PASTEL,BLANCO,0.6,1,0.6,,6,KG,ESPECIAL_VALIDADO,AGRESTE_PASTEL,Agreste PASTEL: factor según regla validada; base física BLANCO; 6 kg
89355267,RECUPLAST AGRESTE GRUESO MARFIL 30 KGS,137293.05,NO,,,,,,,,,,,,Sin base tintométrica detectada
89351269,RECUPLAST AGRESTE MED MARFIL 300 KGS,15203.60,NO,,,,,,,,,,,,Sin base tintométrica detectada
89354458,RECUPLAST AGRESTE MED. ATMOSFERA 300KG,10689.09,NO,,,,,,,,,,,,Sin base tintométrica detectada
89350965,RECUPLAST AGRESTE MEDIANO ACCENT 25 KGS,149956.21,SI,AGRESTE,ACCENT,ACCENT,5,1,5,,25,KG,ESPECIAL_VALIDADO,AGRESTE_ACCENT,Agreste ACCENT: factor según regla validada; base física ACCENT; 25 kg
89350967,RECUPLAST AGRESTE MEDIANO ACCENT 30 KGS,137293.05,SI,AGRESTE,ACCENT,ACCENT,6,1,6,,30,KG,ESPECIAL_VALIDADO,AGRESTE_ACCENT,Agreste ACCENT: factor según regla validada; base física ACCENT; 30 kg
89354365,RECUPLAST AGRESTE MEDIANO AVELLANA 25KG,164472.06,NO,,,,,,,,,,,,Sin base tintométrica detectada
89354368,RECUPLAST AGRESTE MEDIANO AVELLANA 300KG,1477141.74,NO,,,,,,,,,,,,Sin base tintométrica detectada
89354367,RECUPLAST AGRESTE MEDIANO AVELLANA 30KG,150583.08,NO,,,,,,,,,,,,Sin base tintométrica detectada
89351005,RECUPLAST AGRESTE MEDIANO BLANCO 25 KGS,127462.77,SI,AGRESTE,PASTEL,BLANCO,2.5,1,2.5,,25,KG,ESPECIAL_VALIDADO,AGRESTE_PASTEL,Agreste PASTEL: factor según regla validada; base física BLANCO; 25 kg
89351007,RECUPLAST AGRESTE MEDIANO BLANCO 30 KG,141832.80,SI,AGRESTE,PASTEL,BLANCO,3,1,3,,30,KG,ESPECIAL_VALIDADO,AGRESTE_PASTEL,Agreste PASTEL: factor según regla validada; base física BLANCO; 30 kg
89351004,RECUPLAST AGRESTE MEDIANO BLANCO 6 KGS,40012.95,SI,AGRESTE,PASTEL,BLANCO,0.6,1,0.6,,6,KG,ESPECIAL_VALIDADO,AGRESTE_PASTEL,Agreste PASTEL: factor según regla validada; base física BLANCO; 6 kg
89353845,RECUPLAST AGRESTE MEDIANO CHOCOLATE 25KG,164472.06,NO,,,,,,,,,,,,Sin base tintométrica detectada
89353848,RECUPLAST AGRESTE MEDIANO CHOCOLATE 300KG,1477141.74,NO,,,,,,,,,,,,Sin base tintométrica detectada
